release_date,collected_from,collected_to,NGC,target_name,filters,jpeg,proposal
2024-06-08,2024-06-08 09:03:13.878,2024-06-08 10:01:30.507,4457,NGC4457, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o066_t032_nircam_clear-f150w_i2d.jpg,3707
2024-06-08,2023-06-07 02:46:59.194,2023-06-07 03:45:32.078,4258,NGC4258-OUTER-DISK,115 356,mast:JWST/product/jw01995-o004_t004_nircam_clear-f115w_i2d.jpg,1995
2024-06-08,2023-06-07 18:44:46.578,2023-06-07 22:33:28.348,0,ANTENNAE-NIRCAM,150 187 335 360 410,mast:JWST/product/jw02581-o001_t001_nircam_clear-f150w_i2d.jpg,2581
2024-06-08,2023-06-07 22:51:09.216,2023-06-07 23:30:28.057,0,ANTENNAE-MIRI,770,mast:JWST/product/jw02581-o002_t002_miri_f770w_i2d.jpg,2581
2024-06-08,2024-06-08 11:03:56.867,2024-06-08 12:31:35.606,4496,NGC4496A, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o074_t033_nircam_clear-f150w_i2d.jpg,3707
2024-06-07,2024-06-06 03:01:46.294,2024-06-06 03:54:21.593,0,SN2023fyq, 560  770 1000,mast:JWST/product/jw06659-o001_t001_miri_f560w_i2d.jpg,6659
2024-06-05,2024-06-05 00:09:04.962,2024-06-05 01:37:35.285,5134,NGC5134, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o108_t049_nircam_clear-f150w_i2d.jpg,3707
2024-06-05,2024-06-04 22:20:20.681,2024-06-04 23:48:46.652,5042,NGC5042, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o106_t048_nircam_clear-f150w_i2d.jpg,3707
2024-06-04,2024-06-02 22:09:33.886,2024-06-02 23:09:33.235,3596,NGC3596, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o048_t027_nircam_clear-f150w_i2d.jpg,3707
2024-06-03,2024-06-02 20:40:01.283,2024-06-02 21:41:20.248,3626,NGC3626, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o054_t029_nircam_clear-f150w_i2d.jpg,3707
2024-06-03,2024-05-31 14:09:50.022,2024-05-31 20:13:08.478,5194,M51-MIRI,1000 1130 1280 1500 1800 2100,mast:JWST/product/jw03435-o002_t001_miri_f1000w_i2d.jpg,3435
2024-06-02,2024-05-31 13:41:41.214,2024-06-01 14:39:43.085,5194,M51-NIRCAM,140 164 182 210 212 250 360 430,mast:JWST/product/jw03435-o001_t002_nircam_clear-f140m_i2d.jpg,3435
2024-05-31,2024-05-30 21:05:37.346,2024-05-31 00:34:29.699,5194,M51-NE-AURORAL-MIRI, 770 1000 1280,mast:JWST/product/jw03435-o008_t006_miri_f770w_i2d.jpg,3435
2024-05-31,2024-05-31 00:52:34.805,2024-05-31 04:38:00.693,5194,M51-SE-AURORAL-MIRI-updated, 770 1000 1280,mast:JWST/product/jw03435-o009_t015_miri_f770w_i2d.jpg,3435
2024-05-31,2023-05-31 07:22:32.792,2023-05-31 08:24:55.977,3081,NGC-3081, 560 1000 1500 1800 2100,mast:JWST/product/jw02064-o005_t003_miri_f560w-sub256_i2d.jpg,2064
2024-05-31,2024-05-31 04:55:40.774,2024-05-31 08:40:27.750,5194,M51-N-AURORAL-MIRI, 770 1000 1280,mast:JWST/product/jw03435-o010_t013_miri_f770w_i2d.jpg,3435
2024-05-30,2023-05-30 15:23:35.469,2023-05-30 16:41:51.648,6341,MESSIER-101,115 444,mast:JWST/product/jw01995-o001_t001_nircam_clear-f115w_i2d.jpg,1995
2024-05-30,2023-05-30 17:08:17.495,2023-05-30 17:33:28.093,0,RM032, 90 150 277 444,mast:JWST/product/jw02057-o001_t001_nircam_clear-f090w-sub640_i2d.jpg,2057
2024-05-28,2023-05-27 08:20:13.395,2023-05-27 09:19:07.911,4038,NGC4038,115 356,mast:JWST/product/jw01995-o019_t019_nircam_clear-f115w_i2d.jpg,1995
2024-05-25,2023-05-24 21:23:35.404,2023-05-25 01:10:54.740,104,NGC-104-v4,150 322,mast:JWST/product/jw02559-o051_t002_nircam_clear-f150w2_i2d.jpg,2559
2024-05-23,2024-05-23 06:48:18.256,2024-05-23 09:14:50.751,3344,NGC3344, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o224_t022_nircam_clear-f150w_i2d.jpg,3707
2024-05-22,2024-05-22 07:36:38.893,2024-05-22 08:38:34.786,3239,NGC3239, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o138_t021_nircam_clear-f150w_i2d.jpg,3707
