obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
262987249,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f212n_i2d.jpg,2025-05-08 01:40:42.603,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f212n_i2d.fits
262987189,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f360m_i2d.jpg,2025-05-08 01:40:42.539,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f360m_i2d.fits
262987248,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f187n_i2d.jpg,2025-05-08 00:23:13.519,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f187n_i2d.fits
262987252,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_f150w2-f164n_i2d.jpg,2025-05-08 01:01:52.685,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_f150w2-f164n_i2d.fits
262987250,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f150w_i2d.jpg,2025-05-08 02:05:56.521,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f150w_i2d.fits
214440014,4290,"Menard, Francois",ESO-HA-569,NIRCAM/IMAGE,Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks,mast:JWST/product/jw04290-o003_t002_nircam_clear-f460m_i2d.jpg,2024-05-07 12:20:43.322,2025-05-08 04:03:55.000,mast:JWST/product/jw04290-o003_t002_nircam_clear-f460m_i2d.fits
214440015,4290,"Menard, Francois",ESO-HA-569,NIRCAM/IMAGE,Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks,mast:JWST/product/jw04290-o003_t002_nircam_clear-f115w_i2d.jpg,2024-05-07 11:58:10.556,2025-05-08 04:03:55.000,mast:JWST/product/jw04290-o003_t002_nircam_clear-f115w_i2d.fits
214422702,4290,"Menard, Francois",ESO-HA-569,NIRCAM/IMAGE,Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks,mast:JWST/product/jw04290-o003_t002_nircam_clear-f300m_i2d.jpg,2024-05-07 11:58:10.492,2025-05-08 04:03:55.000,mast:JWST/product/jw04290-o003_t002_nircam_clear-f300m_i2d.fits
214440012,4290,"Menard, Francois",ESO-HA-569,NIRCAM/IMAGE,Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks,mast:JWST/product/jw04290-o003_t002_nircam_clear-f200w_i2d.jpg,2024-05-07 12:20:43.386,2025-05-08 04:03:55.000,mast:JWST/product/jw04290-o003_t002_nircam_clear-f200w_i2d.fits
214604517,4290,"Menard, Francois",ESO-HA-569,MIRI/IMAGE,Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks,mast:JWST/product/jw04290-o004_t002_miri_f770w-brightsky_i2d.jpg,2024-05-07 12:46:59.833,2025-05-08 03:56:02.992,mast:JWST/product/jw04290-o004_t002_miri_f770w-brightsky_i2d.fits
214425666,4093,"Richardson, Noel D.",WR112,MIRI/IMAGE,Fingerprinting the history of episodic dust creation in Wolf-Rayet binaries,mast:JWST/product/jw04093-o004_t004_miri_f1500w_i2d.jpg,2024-05-07 10:18:39.426,2025-05-07 21:25:58.999,mast:JWST/product/jw04093-o004_t004_miri_f1500w_i2d.fits
214604568,4093,"Richardson, Noel D.",WR112,MIRI/IMAGE,Fingerprinting the history of episodic dust creation in Wolf-Rayet binaries,mast:JWST/product/jw04093-o004_t004_miri_f2100w_i2d.jpg,2024-05-07 10:45:53.920,2025-05-07 21:25:58.999,mast:JWST/product/jw04093-o004_t004_miri_f2100w_i2d.fits
214425665,4093,"Richardson, Noel D.",WR112,MIRI/IMAGE,Fingerprinting the history of episodic dust creation in Wolf-Rayet binaries,mast:JWST/product/jw04093-o004_t004_miri_f770w_i2d.jpg,2024-05-07 10:08:45.506,2025-05-07 21:25:58.999,mast:JWST/product/jw04093-o004_t004_miri_f770w_i2d.fits
