,file,x,y
141,Moris20220927/mor.2022B026.220927.DART2.00142.a.fits,298,326
142,Moris20220927/mor.2022B026.220927.DART2.00143.a.fits,297,325
143,Moris20220927/mor.2022B026.220927.DART2.00144.a.fits,297,324
144,Moris20220927/mor.2022B026.220927.DART2.00145.a.fits,298,325
145,Moris20220927/mor.2022B026.220927.DART2.00146.a.fits,299,326
146,Moris20220927/mor.2022B026.220927.DART2.00147.a.fits,300,325
147,Moris20220927/mor.2022B026.220927.DART2.00148.a.fits,299,327
148,Moris20220927/mor.2022B026.220927.DART2.00149.a.fits,301,327
149,Moris20220927/mor.2022B026.220927.DART2.00150.a.fits,300,324
150,Moris20220927/mor.2022B026.220927.DART2.00151.a.fits,300,324
151,Moris20220927/mor.2022B026.220927.DART2.00152.a.fits,299,325
152,Moris20220927/mor.2022B026.220927.DART2.00153.a.fits,299,324
153,Moris20220927/mor.2022B026.220927.DART2.00154.a.fits,299,326
154,Moris20220927/mor.2022B026.220927.DART2.00155.a.fits,299,326
155,Moris20220927/mor.2022B026.220927.DART2.00156.a.fits,298,326
156,Moris20220927/mor.2022B026.220927.DART2.00157.a.fits,298,326
157,Moris20220927/mor.2022B026.220927.DART2.00158.a.fits,235,330
158,Moris20220927/mor.2022B026.220927.DART2.00159.a.fits,235,330
159,Moris20220927/mor.2022B026.220927.DART2.00160.a.fits,234,331
160,Moris20220927/mor.2022B026.220927.DART2.00161.a.fits,234,331
161,Moris20220927/mor.2022B026.220927.DART2.00162.a.fits,236,330
162,Moris20220927/mor.2022B026.220927.DART2.00163.a.fits,234,330
163,Moris20220927/mor.2022B026.220927.DART2.00164.a.fits,234,330
164,Moris20220927/mor.2022B026.220927.DART2.00165.a.fits,234,331
165,Moris20220927/mor.2022B026.220927.DART2.00166.a.fits,235,331
166,Moris20220927/mor.2022B026.220927.DART2.00167.a.fits,232,331
167,Moris20220927/mor.2022B026.220927.DART2.00168.a.fits,235,331
168,Moris20220927/mor.2022B026.220927.DART2.00169.a.fits,235,330
169,Moris20220927/mor.2022B026.220927.DART2.00170.a.fits,234,331
170,Moris20220927/mor.2022B026.220927.DART2.00171.a.fits,235,331
171,Moris20220927/mor.2022B026.220927.DART2.00172.a.fits,236,330
172,Moris20220927/mor.2022B026.220927.DART2.00173.a.fits,235,331
173,Moris20220927/mor.2022B026.220927.DART2.00174.a.fits,234,331
174,Moris20220927/mor.2022B026.220927.DART2.00175.a.fits,235,331
175,Moris20220927/mor.2022B026.220927.DART2.00176.a.fits,234,329
176,Moris20220927/mor.2022B026.220927.DART2.00177.a.fits,234,329
177,Moris20220927/mor.2022B026.220927.DART2.00178.a.fits,236,330
178,Moris20220927/mor.2022B026.220927.DART2.00179.a.fits,235,330
179,Moris20220927/mor.2022B026.220927.DART2.00180.a.fits,235,330
180,Moris20220927/mor.2022B026.220927.DART2.00181.a.fits,235,331
181,Moris20220927/mor.2022B026.220927.DART2.00182.a.fits,236,331
182,Moris20220927/mor.2022B026.220927.DART2.00183.a.fits,235,331
183,Moris20220927/mor.2022B026.220927.DART2.00184.a.fits,235,331
184,Moris20220927/mor.2022B026.220927.DART2.00185.a.fits,237,330
185,Moris20220927/mor.2022B026.220927.DART2.00186.a.fits,235,331
186,Moris20220927/mor.2022B026.220927.DART2.00187.a.fits,235,329
187,Moris20220927/mor.2022B026.220927.DART2.00188.a.fits,234,329
188,Moris20220927/mor.2022B026.220927.DART2.00189.a.fits,234,332
189,Moris20220927/mor.2022B026.220927.DART2.00190.a.fits,236,332
190,Moris20220927/mor.2022B026.220927.DART2.00191.a.fits,235,332
191,Moris20220927/mor.2022B026.220927.DART2.00192.a.fits,235,332
192,Moris20220927/mor.2022B026.220927.DART2.00193.a.fits,234,332
193,Moris20220927/mor.2022B026.220927.DART2.00194.a.fits,235,331
194,Moris20220927/mor.2022B026.220927.DART2.00195.a.fits,234,330
195,Moris20220927/mor.2022B026.220927.DART2.00196.a.fits,235,330
196,Moris20220927/mor.2022B026.220927.DART2.00197.a.fits,235,330
197,Moris20220927/mor.2022B026.220927.DART2.00198.a.fits,235,330
198,Moris20220927/mor.2022B026.220927.DART2.00199.a.fits,235,331
199,Moris20220927/mor.2022B026.220927.DART2.00200.a.fits,235,331
200,Moris20220927/mor.2022B026.220927.DART2.00201.a.fits,235,330
