file,x,y,peak,sky,airmass,filter,time
Moris20220926/mor.2022B026.220926.DART1.00149.a.fits,211,330,439,201.60546875,1.684,Johnson_V,13:40:20.783676
Moris20220926/mor.2022B026.220926.DART1.00150.a.fits,212,330,467,201.521484375,1.684,Johnson_V,13:40:27.301216
Moris20220926/mor.2022B026.220926.DART1.00151.a.fits,212,330,469,201.591796875,1.684,Johnson_V,13:40:33.821883
Moris20220926/mor.2022B026.220926.DART1.00152.a.fits,213,329,466,201.70703125,1.684,Johnson_V,13:40:40.322399
Moris20220926/mor.2022B026.220926.DART1.00153.a.fits,212,331,435,201.662109375,1.684,Johnson_V,13:40:46.822938
Moris20220926/mor.2022B026.220926.DART1.00154.a.fits,213,330,545,201.58203125,1.685,Johnson_V,13:40:53.312648
Moris20220926/mor.2022B026.220926.DART1.00155.a.fits,213,330,523,201.546875,1.685,Johnson_V,13:40:59.802303
Moris20220926/mor.2022B026.220926.DART1.00156.a.fits,213,330,500,201.609375,1.685,Johnson_V,13:41:06.302501
Moris20220926/mor.2022B026.220926.DART1.00157.a.fits,212,331,522,201.634765625,1.685,Johnson_V,13:41:12.810394
Moris20220926/mor.2022B026.220926.DART1.00158.a.fits,212,330,571,201.578125,1.685,Johnson_V,13:41:19.351471
Moris20220926/mor.2022B026.220926.DART1.00159.a.fits,212,330,534,201.669921875,1.685,Johnson_V,13:41:25.863383
Moris20220926/mor.2022B026.220926.DART1.00160.a.fits,212,331,556,201.603515625,1.685,Johnson_V,13:41:32.402453
Moris20220926/mor.2022B026.220926.DART1.00161.a.fits,212,330,454,201.560546875,1.685,Johnson_V,13:41:38.920969
Moris20220926/mor.2022B026.220926.DART1.00162.a.fits,212,329,458,201.6171875,1.685,Johnson_V,13:41:45.419559
Moris20220926/mor.2022B026.220926.DART1.00163.a.fits,211,329,471,201.658203125,1.685,Johnson_V,13:41:51.911516
Moris20220926/mor.2022B026.220926.DART1.00164.a.fits,212,330,416,201.4765625,1.685,Johnson_V,13:41:58.412287
Moris20220926/mor.2022B026.220926.DART1.00165.a.fits,212,330,486,201.5546875,1.686,Johnson_V,13:42:04.912936
Moris20220926/mor.2022B026.220926.DART1.00166.a.fits,212,329,475,201.5078125,1.686,Johnson_V,13:42:11.403081
Moris20220926/mor.2022B026.220926.DART1.00167.a.fits,213,331,434,201.48828125,1.686,Johnson_V,13:42:17.890353
Moris20220926/mor.2022B026.220926.DART1.00168.a.fits,212,330,414,201.619140625,1.686,Johnson_V,13:42:24.373120
Moris20220926/mor.2022B026.220926.DART1.00169.a.fits,212,329,450,201.4375,1.686,Johnson_V,13:42:30.871797
Moris20220926/mor.2022B026.220926.DART1.00170.a.fits,213,331,407,201.556640625,1.686,Johnson_V,13:42:37.831075
Moris20220926/mor.2022B026.220926.DART1.00171.a.fits,213,331,409,201.47265625,1.686,Johnson_V,13:42:44.340879
Moris20220926/mor.2022B026.220926.DART1.00172.a.fits,213,331,444,201.595703125,1.686,Johnson_V,13:42:50.821428
Moris20220926/mor.2022B026.220926.DART1.00173.a.fits,213,330,423,201.583984375,1.686,Johnson_V,13:42:57.339142
Moris20220926/mor.2022B026.220926.DART1.00174.a.fits,212,330,413,201.646484375,1.686,Johnson_V,13:43:03.842032
Moris20220926/mor.2022B026.220926.DART1.00175.a.fits,212,330,402,201.75,1.687,Johnson_V,13:43:10.341746
Moris20220926/mor.2022B026.220926.DART1.00176.a.fits,213,330,421,201.595703125,1.687,Johnson_V,13:43:16.862995
Moris20220926/mor.2022B026.220926.DART1.00177.a.fits,212,330,430,201.5,1.687,Johnson_V,13:43:23.381123
Moris20220926/mor.2022B026.220926.DART1.00178.a.fits,212,330,427,201.546875,1.687,Johnson_V,13:43:29.892569
Moris20220926/mor.2022B026.220926.DART1.00179.a.fits,212,331,500,201.623046875,1.687,Johnson_V,13:43:36.401909
Moris20220926/mor.2022B026.220926.DART1.00180.a.fits,212,330,495,201.546875,1.687,Johnson_V,13:43:42.901129
Moris20220926/mor.2022B026.220926.DART1.00181.a.fits,213,331,507,201.568359375,1.687,Johnson_V,13:43:49.413130
Moris20220926/mor.2022B026.220926.DART1.00182.a.fits,213,331,475,201.751953125,1.687,Johnson_V,13:43:55.921743
Moris20220926/mor.2022B026.220926.DART1.00183.a.fits,212,331,436,201.625,1.687,Johnson_V,13:44:02.423084
Moris20220926/mor.2022B026.220926.DART1.00184.a.fits,213,330,429,201.6875,1.688,Johnson_V,13:44:08.923421
Moris20220926/mor.2022B026.220926.DART1.00185.a.fits,212,330,494,201.67578125,1.688,Johnson_V,13:44:15.432742
Moris20220926/mor.2022B026.220926.DART1.00186.a.fits,276,330,409,201.67578125,1.688,Johnson_V,13:44:21.933547
Moris20220926/mor.2022B026.220926.DART1.00187.a.fits,276,330,475,201.650390625,1.688,Johnson_V,13:44:28.450197
Moris20220926/mor.2022B026.220926.DART1.00188.a.fits,276,330,444,201.77734375,1.688,Johnson_V,13:44:34.932555
Moris20220926/mor.2022B026.220926.DART1.00189.a.fits,277,331,500,201.6796875,1.688,Johnson_V,13:44:41.431180
Moris20220926/mor.2022B026.220926.DART1.00190.a.fits,275,329,448,201.59375,1.688,Johnson_V,13:44:47.931739
Moris20220926/mor.2022B026.220926.DART1.00191.a.fits,276,330,419,201.634765625,1.688,Johnson_V,13:44:54.422375
Moris20220926/mor.2022B026.220926.DART1.00192.a.fits,278,332,452,201.546875,1.688,Johnson_V,13:45:00.922189
Moris20220926/mor.2022B026.220926.DART1.00193.a.fits,276,330,473,201.677734375,1.688,Johnson_V,13:45:07.421200
Moris20220926/mor.2022B026.220926.DART1.00194.a.fits,276,330,452,201.53515625,1.689,Johnson_V,13:45:13.958834
Moris20220926/mor.2022B026.220926.DART1.00195.a.fits,276,330,409,201.6328125,1.689,Johnson_V,13:45:20.472118
Moris20220926/mor.2022B026.220926.DART1.00196.a.fits,277,331,457,201.693359375,1.689,Johnson_V,13:45:26.982808
Moris20220926/mor.2022B026.220926.DART1.00197.a.fits,276,330,456,201.568359375,1.689,Johnson_V,13:45:33.502594
Moris20220926/mor.2022B026.220926.DART1.00198.a.fits,277,331,506,201.591796875,1.689,Johnson_V,13:45:40.022577
Moris20220926/mor.2022B026.220926.DART1.00199.a.fits,277,331,475,201.662109375,1.689,Johnson_V,13:45:46.502806
Moris20220926/mor.2022B026.220926.DART1.00200.a.fits,277,329,465,201.57421875,1.689,Johnson_V,13:45:52.991311
Moris20220926/mor.2022B026.220926.DART1.00201.a.fits,277,329,451,201.705078125,1.689,Johnson_V,13:45:59.503099
Moris20220926/mor.2022B026.220926.DART1.00202.a.fits,276,330,387,201.583984375,1.689,Johnson_V,13:46:06.022207
Moris20220926/mor.2022B026.220926.DART1.00203.a.fits,276,331,426,201.5703125,1.69,Johnson_V,13:46:12.530802
Moris20220926/mor.2022B026.220926.DART1.00204.a.fits,275,330,404,201.662109375,1.69,Johnson_V,13:46:19.086268
Moris20220926/mor.2022B026.220926.DART1.00205.a.fits,274,330,387,201.697265625,1.69,Johnson_V,13:46:25.591623
Moris20220926/mor.2022B026.220926.DART1.00206.a.fits,277,332,403,201.66015625,1.69,Johnson_V,13:46:32.082066
Moris20220926/mor.2022B026.220926.DART1.00207.a.fits,275,331,417,201.60546875,1.69,Johnson_V,13:46:38.582553
Moris20220926/mor.2022B026.220926.DART1.00208.a.fits,276,330,440,201.658203125,1.69,Johnson_V,13:46:45.102572
Moris20220926/mor.2022B026.220926.DART1.00209.a.fits,277,330,421,201.736328125,1.69,Johnson_V,13:46:51.602416
Moris20220926/mor.2022B026.220926.DART1.00210.a.fits,278,329,449,201.71875,1.69,Johnson_V,13:46:58.101947
Moris20220926/mor.2022B026.220926.DART1.00211.a.fits,278,331,390,201.603515625,1.691,Johnson_V,13:47:04.612995
Moris20220926/mor.2022B026.220926.DART1.00212.a.fits,277,331,436,201.595703125,1.691,Johnson_V,13:47:11.089996
Moris20220926/mor.2022B026.220926.DART1.00213.a.fits,275,329,492,201.59765625,1.691,Johnson_V,13:47:17.572412
Moris20220926/mor.2022B026.220926.DART1.00214.a.fits,276,330,425,201.70703125,1.691,Johnson_V,13:47:24.092402
Moris20220926/mor.2022B026.220926.DART1.00215.a.fits,276,330,405,201.603515625,1.691,Johnson_V,13:47:30.609222
Moris20220926/mor.2022B026.220926.DART1.00216.a.fits,276,329,391,201.650390625,1.691,Johnson_V,13:47:37.111204
Moris20220926/mor.2022B026.220926.DART1.00217.a.fits,277,331,386,201.662109375,1.691,Johnson_V,13:47:43.631404
Moris20220926/mor.2022B026.220926.DART1.00218.a.fits,277,331,433,201.623046875,1.691,Johnson_V,13:47:50.133402
Moris20220926/mor.2022B026.220926.DART1.00219.a.fits,276,330,445,201.560546875,1.692,Johnson_V,13:47:56.640059
Moris20220926/mor.2022B026.220926.DART1.00220.a.fits,277,330,457,201.69140625,1.692,Johnson_V,13:48:03.161504
Moris20220926/mor.2022B026.220926.DART1.00221.a.fits,278,331,530,201.689453125,1.692,Johnson_V,13:48:09.682147
Moris20220926/mor.2022B026.220926.DART1.00222.a.fits,277,331,541,201.55078125,1.692,Johnson_V,13:48:16.191540
Moris20220926/mor.2022B026.220926.DART1.00223.a.fits,276,329,455,201.7109375,1.692,Johnson_V,13:48:22.701554
Moris20220926/mor.2022B026.220926.DART1.00224.a.fits,277,329,410,201.67578125,1.692,Johnson_V,13:48:29.212427
